"","Entity","Year","Energy Type","Energy Consumption"
"1","World",1800,"Other renewables",0
"2","World",1800,"Biofuels",0
"3","World",1800,"Solar",0
"4","World",1800,"Wind",0
"5","World",1800,"Hydropower",0
"6","World",1800,"Nuclear",0
"7","World",1800,"Natural gas",0
"8","World",1800,"Oil",0
"9","World",1800,"Coal",97
"10","World",1800,"Traditional biomass",5556
"11","World",1810,"Other renewables",0
"12","World",1810,"Biofuels",0
"13","World",1810,"Solar",0
"14","World",1810,"Wind",0
"15","World",1810,"Hydropower",0
"16","World",1810,"Nuclear",0
"17","World",1810,"Natural gas",0
"18","World",1810,"Oil",0
"19","World",1810,"Coal",128
"20","World",1810,"Traditional biomass",5833
"21","World",1820,"Other renewables",0
"22","World",1820,"Biofuels",0
"23","World",1820,"Solar",0
"24","World",1820,"Wind",0
"25","World",1820,"Hydropower",0
"26","World",1820,"Nuclear",0
"27","World",1820,"Natural gas",0
"28","World",1820,"Oil",0
"29","World",1820,"Coal",153
"30","World",1820,"Traditional biomass",6111
"31","World",1830,"Other renewables",0
"32","World",1830,"Biofuels",0
"33","World",1830,"Solar",0
"34","World",1830,"Wind",0
"35","World",1830,"Hydropower",0
"36","World",1830,"Nuclear",0
"37","World",1830,"Natural gas",0
"38","World",1830,"Oil",0
"39","World",1830,"Coal",264
"40","World",1830,"Traditional biomass",6389
"41","World",1840,"Other renewables",0
"42","World",1840,"Biofuels",0
"43","World",1840,"Solar",0
"44","World",1840,"Wind",0
"45","World",1840,"Hydropower",0
"46","World",1840,"Nuclear",0
"47","World",1840,"Natural gas",0
"48","World",1840,"Oil",0
"49","World",1840,"Coal",356
"50","World",1840,"Traditional biomass",6944
"51","World",1850,"Other renewables",0
"52","World",1850,"Biofuels",0
"53","World",1850,"Solar",0
"54","World",1850,"Wind",0
"55","World",1850,"Hydropower",0
"56","World",1850,"Nuclear",0
"57","World",1850,"Natural gas",0
"58","World",1850,"Oil",0
"59","World",1850,"Coal",569
"60","World",1850,"Traditional biomass",7222
"61","World",1860,"Other renewables",0
"62","World",1860,"Biofuels",0
"63","World",1860,"Solar",0
"64","World",1860,"Wind",0
"65","World",1860,"Hydropower",0
"66","World",1860,"Nuclear",0
"67","World",1860,"Natural gas",0
"68","World",1860,"Oil",0
"69","World",1860,"Coal",1061
"70","World",1860,"Traditional biomass",6944
"71","World",1870,"Other renewables",0
"72","World",1870,"Biofuels",0
"73","World",1870,"Solar",0
"74","World",1870,"Wind",0
"75","World",1870,"Hydropower",0
"76","World",1870,"Nuclear",0
"77","World",1870,"Natural gas",0
"78","World",1870,"Oil",6
"79","World",1870,"Coal",1642
"80","World",1870,"Traditional biomass",6944
"81","World",1880,"Other renewables",0
"82","World",1880,"Biofuels",0
"83","World",1880,"Solar",0
"84","World",1880,"Wind",0
"85","World",1880,"Hydropower",0
"86","World",1880,"Nuclear",0
"87","World",1880,"Natural gas",0
"88","World",1880,"Oil",33
"89","World",1880,"Coal",2542
"90","World",1880,"Traditional biomass",6944
"91","World",1890,"Other renewables",0
"92","World",1890,"Biofuels",0
"93","World",1890,"Solar",0
"94","World",1890,"Wind",0
"95","World",1890,"Hydropower",38.88888931
"96","World",1890,"Nuclear",0
"97","World",1890,"Natural gas",33
"98","World",1890,"Oil",89
"99","World",1890,"Coal",3856
"100","World",1890,"Traditional biomass",6667
"101","World",1900,"Other renewables",0
"102","World",1900,"Biofuels",0
"103","World",1900,"Solar",0
"104","World",1900,"Wind",0
"105","World",1900,"Hydropower",47.22222137
"106","World",1900,"Nuclear",0
"107","World",1900,"Natural gas",64
"108","World",1900,"Oil",181
"109","World",1900,"Coal",5728
"110","World",1900,"Traditional biomass",6111
"111","World",1910,"Other renewables",0
"112","World",1910,"Biofuels",0
"113","World",1910,"Solar",0
"114","World",1910,"Wind",0
"115","World",1910,"Hydropower",91.66666412
"116","World",1910,"Nuclear",0
"117","World",1910,"Natural gas",142
"118","World",1910,"Oil",397
"119","World",1910,"Coal",8656
"120","World",1910,"Traditional biomass",6389
"121","World",1920,"Other renewables",0
"122","World",1920,"Biofuels",0
"123","World",1920,"Solar",0
"124","World",1920,"Wind",0
"125","World",1920,"Hydropower",177.777771
"126","World",1920,"Nuclear",0
"127","World",1920,"Natural gas",233
"128","World",1920,"Oil",889
"129","World",1920,"Coal",9833
"130","World",1920,"Traditional biomass",6944
"131","World",1930,"Other renewables",0
"132","World",1930,"Biofuels",0
"133","World",1930,"Solar",0
"134","World",1930,"Wind",0
"135","World",1930,"Hydropower",363.8888855
"136","World",1930,"Nuclear",0
"137","World",1930,"Natural gas",603
"138","World",1930,"Oil",1756
"139","World",1930,"Coal",10125
"140","World",1930,"Traditional biomass",7222
"141","World",1940,"Other renewables",0
"142","World",1940,"Biofuels",0
"143","World",1940,"Solar",0
"144","World",1940,"Wind",0
"145","World",1940,"Hydropower",533.333313
"146","World",1940,"Nuclear",0
"147","World",1940,"Natural gas",875
"148","World",1940,"Oil",2653
"149","World",1940,"Coal",11586
"150","World",1940,"Traditional biomass",7222
"151","World",1950,"Other renewables",0
"152","World",1950,"Biofuels",0
"153","World",1950,"Solar",0
"154","World",1950,"Wind",0
"155","World",1950,"Hydropower",925
"156","World",1950,"Nuclear",0
"157","World",1950,"Natural gas",2092
"158","World",1950,"Oil",5444
"159","World",1950,"Coal",12603
"160","World",1950,"Traditional biomass",7500
"161","World",1960,"Other renewables",0
"162","World",1960,"Biofuels",0
"163","World",1960,"Solar",0
"164","World",1960,"Wind",0
"165","World",1960,"Hydropower",1913.888916
"166","World",1960,"Nuclear",0
"167","World",1960,"Natural gas",4472
"168","World",1960,"Oil",11097
"169","World",1960,"Coal",15442
"170","World",1960,"Traditional biomass",8889
"171","World",1965,"Other renewables",55.94908524
"172","World",1965,"Biofuels",9.02986145
"173","World",1965,"Solar",0
"174","World",1965,"Wind",0
"175","World",1965,"Hydropower",2729.886475
"176","World",1965,"Nuclear",72.46934509
"177","World",1965,"Natural gas",6303.798828
"178","World",1965,"Oil",17989.60352
"179","World",1965,"Coal",16140.17871
"180","World",1965,"Traditional biomass",9162
"181","World",1966,"Other renewables",61.73760605
"182","World",1966,"Biofuels",9.209843636
"183","World",1966,"Solar",0
"184","World",1966,"Wind",0
"185","World",1966,"Hydropower",2909.135986
"186","World",1966,"Nuclear",97.70497131
"187","World",1966,"Natural gas",6868.794434
"188","World",1966,"Oil",19341.14648
"189","World",1966,"Coal",16324.09375
"190","World",1966,"Traditional biomass",9218
"191","World",1967,"Other renewables",62.35337448
"192","World",1967,"Biofuels",9.38371563
"193","World",1967,"Solar",0
"194","World",1967,"Wind",0
"195","World",1967,"Hydropower",2973.969238
"196","World",1967,"Nuclear",116.3551788
"197","World",1967,"Natural gas",7374.039551
"198","World",1967,"Oil",20732.13672
"199","World",1967,"Coal",16060.80957
"200","World",1967,"Traditional biomass",9274
"201","World",1968,"Other renewables",69.03191376
"202","World",1968,"Biofuels",9.553799629
"203","World",1968,"Solar",0
"204","World",1968,"Wind",0
"205","World",1968,"Hydropower",3132.305176
"206","World",1968,"Nuclear",147.8718872
"207","World",1968,"Natural gas",8044.331543
"208","World",1968,"Oil",22488.33203
"209","World",1968,"Coal",16301.14648
"210","World",1968,"Traditional biomass",9331
"211","World",1969,"Other renewables",72.55871582
"212","World",1969,"Biofuels",9.723980904
"213","World",1969,"Solar",0
"214","World",1969,"Wind",0
"215","World",1969,"Hydropower",3316.980469
"216","World",1969,"Nuclear",175.3113403
"217","World",1969,"Natural gas",8833.417969
"218","World",1969,"Oil",24353
"219","World",1969,"Coal",16798.73633
"220","World",1969,"Traditional biomass",9387
"221","World",1970,"Other renewables",80.33794403
"222","World",1970,"Biofuels",11.0390625
"223","World",1970,"Solar",0
"224","World",1970,"Wind",0
"225","World",1970,"Hydropower",3473.426514
"226","World",1970,"Nuclear",223.8080139
"227","World",1970,"Natural gas",9614.791992
"228","World",1970,"Oil",26505.18359
"229","World",1970,"Coal",17058.60742
"230","World",1970,"Traditional biomass",9444
"231","World",1971,"Other renewables",87.33906555
"232","World",1971,"Biofuels",11.64955807
"233","World",1971,"Solar",0
"234","World",1971,"Wind",0
"235","World",1971,"Hydropower",3628.941895
"236","World",1971,"Nuclear",311.2872314
"237","World",1971,"Natural gas",10293.2002
"238","World",1971,"Oil",27994.79688
"239","World",1971,"Coal",16965.77734
"240","World",1971,"Traditional biomass",9499
"241","World",1972,"Other renewables",93.40202332
"242","World",1972,"Biofuels",12.94693279
"243","World",1972,"Solar",0
"244","World",1972,"Wind",0
"245","World",1972,"Hydropower",3798.634033
"246","World",1972,"Nuclear",431.7992554
"247","World",1972,"Natural gas",10861.72363
"248","World",1972,"Oil",30112.26367
"249","World",1972,"Coal",17158.63672
"250","World",1972,"Traditional biomass",9553
"251","World",1973,"Other renewables",100.2463074
"252","World",1973,"Biofuels",12.5866394
"253","World",1973,"Solar",0
"254","World",1973,"Wind",0
"255","World",1973,"Hydropower",3852.995117
"256","World",1973,"Nuclear",578.5737305
"257","World",1973,"Natural gas",11377.83789
"258","World",1973,"Oil",32534.80664
"259","World",1973,"Coal",17667.84961
"260","World",1973,"Traditional biomass",9608
"261","World",1974,"Other renewables",106.872963
"262","World",1974,"Biofuels",12.16781425
"263","World",1974,"Solar",0
"264","World",1974,"Wind",0
"265","World",1974,"Hydropower",4232.136719
"266","World",1974,"Nuclear",756.4817505
"267","World",1974,"Natural gas",11659.86523
"268","World",1974,"Oil",32078.17969
"269","World",1974,"Coal",17682.05078
"270","World",1974,"Traditional biomass",9663
"271","World",1975,"Other renewables",108.1472015
"272","World",1975,"Biofuels",11.48027992
"273","World",1975,"Solar",0
"274","World",1975,"Wind",0
"275","World",1975,"Hydropower",4284.33252
"276","World",1975,"Nuclear",1049.449707
"277","World",1975,"Natural gas",11659.74121
"278","World",1975,"Oil",31715.76953
"279","World",1975,"Coal",18024.53711
"280","World",1975,"Traditional biomass",9718
"281","World",1976,"Other renewables",120.5710602
"282","World",1976,"Biofuels",11.86993122
"283","World",1976,"Solar",0
"284","World",1976,"Wind",0
"285","World",1976,"Hydropower",4267.339355
"286","World",1976,"Nuclear",1227.711548
"287","World",1976,"Natural gas",12354.14355
"288","World",1976,"Oil",33752.46484
"289","World",1976,"Coal",18688.48438
"290","World",1976,"Traditional biomass",9774
"291","World",1977,"Other renewables",127.2666321
"292","World",1977,"Biofuels",15.85667896
"293","World",1977,"Solar",0
"294","World",1977,"Wind",0
"295","World",1977,"Hydropower",4410.858887
"296","World",1977,"Nuclear",1528.137451
"297","World",1977,"Natural gas",12759.84277
"298","World",1977,"Oil",34928.13672
"299","World",1977,"Coal",19241.30078
"300","World",1977,"Traditional biomass",9830
"301","World",1978,"Other renewables",135.026825
"302","World",1978,"Biofuels",20.97179222
"303","World",1978,"Solar",0
"304","World",1978,"Wind",0.008861111
"305","World",1978,"Hydropower",4773.710938
"306","World",1978,"Nuclear",1775.700928
"307","World",1978,"Natural gas",13293.95215
"308","World",1978,"Oil",36509.91797
"309","World",1978,"Coal",19457.9043
"310","World",1978,"Traditional biomass",9886
"311","World",1979,"Other renewables",144.5155182
"312","World",1979,"Biofuels",26.00082588
"313","World",1979,"Solar",0
"314","World",1979,"Wind",0.017749999
"315","World",1979,"Hydropower",5012.646973
"316","World",1979,"Nuclear",1846.824585
"317","World",1979,"Natural gas",14118.03223
"318","World",1979,"Oil",37064.56641
"319","World",1979,"Coal",20363.53906
"320","World",1979,"Traditional biomass",9943
"321","World",1980,"Other renewables",153.7885742
"322","World",1980,"Biofuels",29.85854721
"323","World",1980,"Solar",0
"324","World",1980,"Wind",0.031048333
"325","World",1980,"Hydropower",5120.46875
"326","World",1980,"Nuclear",2020.095581
"327","World",1980,"Natural gas",14236.96094
"328","World",1980,"Oil",35514.42188
"329","World",1980,"Coal",20857.60938
"330","World",1980,"Traditional biomass",10000
"331","World",1981,"Other renewables",164.9075775
"332","World",1981,"Biofuels",27.29734802
"333","World",1981,"Solar",0
"334","World",1981,"Wind",0.031048333
"335","World",1981,"Hydropower",5230.628418
"336","World",1981,"Nuclear",2385.642822
"337","World",1981,"Natural gas",14395.87402
"338","World",1981,"Oil",34251.57031
"339","World",1981,"Coal",21149.67969
"340","World",1981,"Traditional biomass",10106
"341","World",1982,"Other renewables",191.2328949
"342","World",1982,"Biofuels",35.22252274
"343","World",1982,"Solar",0
"344","World",1982,"Wind",0.054704163
"345","World",1982,"Hydropower",5325.265625
"346","World",1982,"Nuclear",2588.317383
"347","World",1982,"Natural gas",14469.73535
"348","World",1982,"Oil",33185.26953
"349","World",1982,"Coal",21385.45117
"350","World",1982,"Traditional biomass",10213
"351","World",1983,"Other renewables",211.7705841
"352","World",1983,"Biofuels",44.50929642
"353","World",1983,"Solar",0.008861111
"354","World",1983,"Wind",0.096974447
"355","World",1983,"Hydropower",5552.54248
"356","World",1983,"Nuclear",2933.458984
"357","World",1983,"Natural gas",14703.83301
"358","World",1983,"Oil",32937.60547
"359","World",1983,"Coal",22046.3457
"360","World",1983,"Traditional biomass",10321
"361","World",1984,"Other renewables",236.3206482
"362","World",1984,"Biofuels",53.71253204
"363","World",1984,"Solar",0.018666666
"364","World",1984,"Wind",0.132341668
"365","World",1984,"Hydropower",5740.620117
"366","World",1984,"Nuclear",3559.856689
"367","World",1984,"Natural gas",15902.68066
"368","World",1984,"Oil",33680.05469
"369","World",1984,"Coal",23001.08008
"370","World",1984,"Traditional biomass",10430
"371","World",1985,"Other renewables",244.3552246
"372","World",1985,"Biofuels",63.57527924
"373","World",1985,"Solar",0.034737218
"374","World",1985,"Wind",0.189898327
"375","World",1985,"Hydropower",5854.193848
"376","World",1985,"Nuclear",4224.837402
"377","World",1985,"Natural gas",16262.22168
"378","World",1985,"Oil",33660.10156
"379","World",1985,"Coal",23987.82813
"380","World",1985,"Traditional biomass",10541
"381","World",1986,"Other renewables",265.204895
"382","World",1986,"Biofuels",79.67752838
"383","World",1986,"Solar",0.044898331
"384","World",1986,"Wind",0.410522789
"385","World",1986,"Hydropower",5933.473145
"386","World",1986,"Nuclear",4525.086426
"387","World",1986,"Natural gas",16421.11133
"388","World",1986,"Oil",34700.83594
"389","World",1986,"Coal",24258.0332
"390","World",1986,"Traditional biomass",10653
